,PlayerName,Pos
6,K. Evans,G
12,J. Thiemann,C
21,G. Yabusele,F
23,N. Milutinov,C
27,S. Ojeleye,F
37,J. Nunnally,F
43,J. Motley,C
53,M. Teodosic,G
56,N. Calathes,G
60,B. Caboclo,C
67,M. Costello,C
70,P. Dozier Jr,F
78,D. Inglis,C
82,M. Scott,F
83,F. Kaminsky,C
85,D. Thomas,F
95,A. Avramovic,G
102,J. Brown,F
107,A. Hanga,F
109,T. Pleiss,C
110,R. Rubio,G
112,M. Kotsar,C
116,J. Mickey,C
118,M. Thomas,G
125,S. Jovic,G
126,B. Manek,F
132,J. Harper,G
137,R. Mcgruder,G
138,J. Webb Iii,F
139,X. Lopez-arostegui,F
150,J. Smith,G
151,B. Toure,C
156,A. Noua,F
157,R. Fernandez,F
162,E. Harris,C
163,D. Andjusic,G
164,S. Rodriguez,G
165,N. Topic,G
166,A. Poythress,C
167,J. Pradilla,C
170,K. Walker,G
171,J. Smart,G
174,A. Cleveland,F
175,M. Delow,G
177,T. Dimsa,G
178,E. Sumner,G
181,D. Cacok,C
182,G. Larentzakis,G
184,L. Sikma,F
186,B. Baron,G
188,B. Koprivica,C
191,A. Abass,F
193,K. Hines,C
195,K. Antetokounmpo,C
199,D. Diez,F
200,J. Nnaji,C
201,V. Claver,F
202,A. Balcerowski,C
203,M. Ponitka,F
204,K. Pangos,G
205,N. Reuvers,F
207,N. Sestina,F
208,D. Flaccadori,G
209,A. Samodurov,F
210,M. Tobey,C
211,J. Parra,F
212,U. Trifunovic,F
218,C. Chiozza,G
220,J. Theodore,G
221,D. Ilic,F
222,F. Gillespie,C
224,Z. Samar,G
225,P. Cornelie,F
226,J. Puerto,G
227,R. Lomazs,G
231,E. Yilmaz,F
232,O. Pauli,F
233,L. Mari,G
234,D. Radoncic,F
235,J. Thomasson,G
237,D. Moraitis,G
238,C. Alocen,G
239,N. Wimberg,F
240,E. Mantzoukas,F
241,K. Robertson,G
242,D. Lavrinovicius,F
243,K. Nikic,C
245,N. Mitrou-long,G
246,G. Caruso,F
247,K. Jakucionis,G
248,N. Yaacov,G
249,N. Montvila,G
250,M. Mahmutoglu,G
251,N. Weidemann,G
252,S. Lazarevic,F
254,D. Butka,F
255,M. Lountzis,G
257,S. Raieste,F
259,O. Mayer,G
260,S. Hazer,G
261,H. Mestoglu,F
262,G. Tanoulis,C
263,R. Oncel,G
264,B. Yildizli,F
265,T. Thompkins,F
267,B. Mascolo,G
268,V. Hrabar,F
269,D. Sarr,G
270,M. Tunca,G
271,E. Gazi,G
272,I. Diagne,C
273,S. De Larrea,G
274,K. Lukosiunas,G
0,M. Lessort,C
1,D. Oturu,C
2,N. Sako,C
3,F. Campazzo,G
4,S. Vezenkov,F
5,T. Blatt,G
6,T. Jones,C
7,C. Moneke,F
8,T. Maledon,G
9,J. Rivero,C
10,T. Shorts,G
11,S. Shields,F
12,I. Cordinier,G
13,A. Diallo,F
14,K. Nunn,G
15,S. Francisco,G
16,M. James,G
17,S. Napier,G
18,J. Voigtmann,C
19,N. Kalinic,F
20,D. Brizuela,G
21,K. Koumadje,C
22,E. Okobo,G
23,W. Baldwin Iv,G
24,J. Hernangomez,F
25,N. Mirotic,F
26,J. Hoard,F
27,T. Sedekerskis,F
29,I. Canaan,G
30,J. Grant,G
31,E. Bryant,G
32,C. Miller-mcintyre,G
33,J. Loyd,G
34,S. Larkin,G
35,M. Hermannsson,G
36,M. Jantunen,C
37,M. Jaiteh,C
38,N. Giffey,F
39,N. Hayes-davis,F
40,Y. Madar,G
41,D. Booker,C
42,J. Bolomboy,C
43,N. Nedovic,G
44,K. Punter,G
45,Z. Leday,F
46,S. Ibaka,C
47,N. Laprovittola,G
48,W. Tavares,C
49,B. Colson,F
50,D. Musa,F
51,P. Lee,G
52,M. Diouf,C
53,W. Mcdowell-white,G
54,C. Jones,G
55,K. Birch,C
56,K. Hayes,C
57,J. Vesely,C
58,O. Yurtseven,C
59,X. Rathan-mayes,G
60,G. Deck,F
61,L. Mitrovic,F
62,B. Davies,C
63,V. Marinkovic,F
64,T. Shengelia,F
65,M. Wright,C
66,I. Brazdeikis,G
67,L. Brown,G
68,N. De Colo,G
69,J. Parker,F
70,G. Papagiannis,C
71,B. Marjanovic,C
72,A. Schofield,F
73,I. Papapetrou,F
74,M. Hezonja,F
75,T. Luwawu-cabarrot,F
76,T. Satoransky,G
77,T. Forrest,G
78,J. Anderson,F
79,D. Sirvydis,F
80,M. Howard,G
81,D. Willis,F
82,L. Bolmaro,G
83,F. Korkmaz,G
84,T. Biberovic,F
85,E. Fournier,G
86,S. Harrison,G
87,N. Dimitrijevic,G
88,C. Edwards,G
89,R. Jokubaitis,G
90,J. Bean,F
91,I. Bonga,F
92,M. Guduric,G
93,J. Nebo,C
94,B. Sy,F
95,D. Giedraitis,G
96,R. Beaubois,G
97,T. Black,C
98,L. Randolph,F
99,V. Lucic,F
100,N. Williams-goss,G
101,A. Obst,G
102,S. Mckissic,G
103,C. Malcolm,F
104,K. Sloukas,G
105,D. Motiejunas,C
106,A. Abrines,F
107,W. Hernangomez,C
108,M. Nakic,F
109,A. Zizic,C
110,W. Clyburn,F
111,M. Lo,G
112,O. Diop,F
113,D. Pierre,F
114,C. Osman,F
115,L. Olinde,F
116,A. Pajola,G
117,D. Thompson,G
118,K. Diop,C
119,T. Walkup,G
120,A. Brooks,G
121,A. Zagars,G
122,J. Blossomgame,F
123,D. Hall,G
124,J. Dibartolomeo,G
125,K. Papanikolaou,F
126,E. Ndiaye,C
127,S. Brown,G
128,M. Morgan,G
129,D. Lighty,F
130,K. Baldwin,G
131,N. Melli,F
132,K. Mitoglou,F
133,L. Birutis,C
134,J. Lauvergne,C
135,G. Ricci,F
136,V. Poirier,C
137,T. Williams,F
138,F. Causeur,G
139,N. Hifi,G
140,M. Strazel,G
141,M. Ndiaye,F
142,R. Sorkin,F
143,C. Metu,F
144,D. Brankovic,C
145,Y. Wetzell,F
146,M. Spagnolo,G
147,I. Lundberg,G
148,F. Ntilikina,G
149,T. Ward,F
150,A. Abalde,F
151,E. Ulanovas,F
152,L. Vildoza,G
153,S. Llull,G
154,A. Polonara,F
155,A. Butkevicius,F
156,M. Daum,F
