#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
1;M. Lessort;C;PAO;21.1;18.7;41;29.7;29;13.9;6.3;1.4;1.0;0.9;0.5;5.0;8.0;62.4;0.0;0.0;0.0;4.0;6.5;60.7;2.3;4.0;1.8;2.7;6.7;0.0
2;S. Larkin;G;EFS;21.0;0.0;35;31.6;33;16.8;2.8;5.1;1.1;0.1;0.3;5.3;11.5;46.0;2.5;6.4;39.1;3.7;4.1;90.8;0.2;2.7;1.9;1.4;4.3;0.0
3;M. James;G;ASM;20.8;0.0;39;31.7;39;17.9;4.1;5.1;1.2;0.1;0.5;5.9;13.9;42.6;2.2;6.0;37.2;3.8;4.9;77.2;0.5;3.6;2.1;1.8;4.7;0.0
4;W. Baldwin Iv;G;MTA;20.3;0.0;30;27.6;30;17.4;2.5;4.9;1.0;0.2;0.2;5.7;12.4;45.6;1.4;3.7;39.1;4.6;5.5;84.8;0.3;2.2;2.6;1.9;5.5;0.0
5;N. Mirotic;F;EA7;19.7;0.0;21;26.5;17;16.9;5.7;0.9;0.8;0.3;0.3;5.4;10.2;52.6;2.2;5.2;41.8;4.0;4.7;84.7;1.8;3.9;1.7;2.2;4.0;0.0
6;C. Moneke;F;BKN;19.5;0.0;34;24.7;7;13.6;6.6;1.4;1.1;0.5;0.5;4.5;8.5;53.1;0.9;2.5;35.3;3.6;4.7;76.4;2.1;4.5;2.0;1.6;4.4;0.0
7;K. Evans;G;ZAL;19.1;0.0;34;27.4;34;17.3;2.8;3.9;1.2;0.1;0.5;5.5;11.5;48.1;2.4;5.6;43.5;3.8;4.2;89.5;0.5;2.3;2.3;2.4;4.7;0.0
8;T. Shengelia;F;VIR;18.3;0.0;33;27.4;31;14.5;5.0;3.3;1.0;0.2;0.5;5.2;10.5;49.1;0.8;3.0;25.5;3.5;4.4;78.8;1.4;3.7;2.7;2.5;5.2;0.0
9;F. Campazzo;G;RMB;18.1;15.6;37;25.3;36;11.5;2.9;6.5;1.3;0.0;0.2;3.7;8.2;45.2;1.3;4.0;32.2;2.8;3.2;86.6;0.6;2.3;2.4;2.4;4.5;0.0
10;J. Nebo;C;MTA;17.8;0.0;39;23.7;39;11.2;7.1;0.6;0.6;0.9;0.3;4.4;6.5;66.7;0.0;0.0;0.0;2.4;3.4;71.4;3.1;4.0;0.9;1.8;2.5;0.0
11;K. Sloukas;G;PAO;17.6;15.6;34;26.2;15;12.7;3.2;5.6;0.8;0.0;0.4;4.0;8.1;50.0;1.7;4.2;41.5;2.9;3.4;85.3;0.6;2.6;2.3;1.8;3.0;0.0
12;S. Shields;F;EA7;17.5;0.0;29;30.4;28;15.7;3.7;2.8;1.3;0.1;0.2;5.5;11.5;47.6;2.6;6.6;38.9;2.2;2.7;82.1;0.7;3.1;2.1;1.7;3.6;0.0
13;J. Thiemann;C;BER;16.8;0.0;29;25.0;24;12.7;5.3;1.9;0.8;0.1;0.9;4.3;8.8;48.4;0.8;2.2;34.4;3.4;4.3;78.6;1.5;3.8;1.7;1.2;4.9;0.0
14;N. Hayes-davis;F;FBB;16.6;14.6;37;31.5;36;13.8;4.6;1.7;1.0;0.2;0.3;4.8;10.1;46.9;1.8;4.9;37.2;2.4;2.9;83.2;1.5;3.1;1.2;2.1;3.9;0.0
15;S. Ibaka;C;BAY;16.4;0.0;28;24.7;26;12.6;6.8;1.2;0.5;1.3;0.3;5.3;8.9;59.8;0.9;1.8;48.0;1.1;1.7;66.7;2.0;4.8;1.6;2.9;2.3;0.0
16;W. Tavares;C;RMB;16.2;14.9;34;22.9;33;9.4;6.5;1.4;0.7;1.5;0.1;3.6;5.9;60.7;0.0;0.0;0.0;2.2;3.0;73.8;2.3;4.2;1.7;2.6;3.0;0.0
17;J. Vesely;C;BAR;15.9;0.0;38;21.9;37;12.3;4.3;1.3;1.0;0.5;0.3;4.9;8.0;61.0;0.1;0.2;28.6;2.5;3.1;79.8;1.9;2.4;1.1;2.5;3.1;0.0
18;D. Musa;F;RMB;15.7;14.2;38;21.0;29;13.5;2.7;2.2;0.3;0.2;0.4;4.5;8.6;52.3;1.6;3.8;41.3;3.0;3.6;81.9;0.7;2.1;1.2;1.2;3.0;0.0
19;C. Miller-mcintyre;G;BKN;15.7;0.0;39;29.5;36;9.6;4.4;7.3;0.9;0.1;0.6;3.7;7.8;46.7;0.7;2.4;29.0;1.5;2.2;69.8;0.6;3.8;2.6;2.2;2.8;0.0
20;W. Clyburn;F;EFS;15.5;0.0;25;28.3;18;13.3;4.6;2.0;1.0;0.2;0.3;4.7;10.9;42.9;1.6;4.7;33.1;2.4;3.0;78.7;1.1;3.4;1.5;1.9;4.2;0.0
21;T. Sedekerskis;F;BKN;15.4;0.0;35;27.7;32;8.8;6.7;1.4;0.5;0.4;0.4;3.3;5.6;59.7;0.6;1.5;38.9;1.5;1.9;80.6;1.7;5.0;1.1;1.4;2.2;0.0
22;G. Yabusele;F;RMB;15.3;13.5;27;23.6;13;10.5;4.9;1.0;0.8;0.2;0.1;3.5;6.2;56.5;1.3;2.8;46.1;2.2;2.5;86.8;1.0;3.8;0.9;1.4;2.3;0.0
23;A. Peters;F;OLY;15.3;11.6;40;25.4;40;13.1;4.9;1.6;0.5;0.1;0.4;4.7;8.3;56.5;1.9;3.6;53.5;1.8;2.1;87.8;1.2;3.6;1.3;2.3;2.2;0.0
24;N. Milutinov;C;OLY;15.2;12.7;27;18.1;4;7.8;5.6;0.9;0.3;0.6;0.1;2.8;4.6;61.0;0.0;0.0;0.0;2.2;2.7;82.2;2.5;3.1;1.0;0.9;3.4;0.0
25;J. Bolomboy;C;CZV;15.0;0.0;33;25.5;31;10.2;6.0;0.8;0.8;0.7;0.2;3.9;6.4;61.6;0.3;0.8;33.3;2.1;2.6;81.2;2.3;3.7;1.1;2.3;2.7;0.0
26;B. Colson;F;MTA;15.0;0.0;40;28.5;40;12.6;5.3;0.6;1.3;0.4;0.2;4.6;9.4;48.9;1.4;3.6;38.7;2.0;2.6;79.4;1.5;3.9;0.6;2.2;2.3;0.0
27;K. Punter;G;PAR;14.9;0.0;28;29.1;24;15.0;2.6;2.6;1.1;0.2;0.4;5.1;11.0;46.3;1.5;4.2;35.0;3.3;3.6;90.2;0.3;2.3;2.3;2.4;4.0;0.0
28;S. Ojeleye;F;VBC;14.9;0.0;27;22.2;12;13.3;4.4;0.4;0.8;0.2;0.4;4.0;8.0;49.3;1.5;3.1;47.1;3.9;4.5;86.9;1.4;3.0;1.5;1.7;3.4;0.0
29;V. Poirier;C;RMB;14.5;12.4;37;18.4;5;9.0;5.3;0.6;0.4;1.5;0.1;3.6;5.5;66.8;0.1;0.1;40.0;1.6;2.3;70.6;2.2;3.1;0.8;2.0;1.9;0.0
30;M. Hezonja;F;RMB;14.4;12.6;38;23.3;17;13.5;4.6;0.9;1.0;0.1;0.2;4.7;10.0;47.5;2.2;5.1;43.1;1.8;2.0;92.1;0.5;4.1;1.1;1.7;1.7;0.0
